,HII
2015-01-02,111.91000366210938
2015-01-05,110.2300033569336
2015-01-06,114.27999877929688
2015-01-07,114.08000183105467
2015-01-08,117.73999786376952
2015-01-09,115.87999725341795
2015-01-12,115.5
2015-01-13,114.91999816894533
2015-01-14,113.52999877929688
2015-01-15,112.83999633789062
2015-01-16,115.6500015258789
2015-01-20,114.79000091552734
2015-01-21,115.91000366210938
2015-01-22,119.4000015258789
2015-01-23,119.61000061035156
2015-01-26,119.5199966430664
2015-01-27,119.0500030517578
2015-01-28,118.44000244140624
2015-01-29,118.48999786376952
2015-01-30,116.5999984741211
2015-02-02,118.01000213623048
2015-02-03,121.16999816894533
2015-02-04,120.86000061035156
2015-02-05,120.83999633789062
2015-02-06,121.70999908447266
2015-02-09,119.22000122070312
2015-02-10,120.48999786376952
2015-02-11,121.97000122070312
2015-02-12,124.0999984741211
2015-02-13,125.12000274658205
2015-02-17,125.51000213623048
2015-02-18,128.41000366210938
2015-02-19,133.0
2015-02-20,137.69000244140625
2015-02-23,142.41000366210938
2015-02-24,139.6699981689453
2015-02-25,142.07000732421875
2015-02-26,142.63999938964844
2015-02-27,141.3300018310547
2015-03-02,143.5500030517578
2015-03-03,142.19000244140625
2015-03-04,142.9199981689453
2015-03-05,140.8800048828125
2015-03-06,137.07000732421875
2015-03-09,139.2899932861328
2015-03-10,137.3300018310547
2015-03-11,138.91000366210938
2015-03-12,140.64999389648438
2015-03-13,139.3300018310547
2015-03-16,139.42999267578125
2015-03-17,140.36000061035156
2015-03-18,141.47999572753906
2015-03-19,141.3300018310547
2015-03-20,143.07000732421875
2015-03-23,142.22999572753906
2015-03-24,142.24000549316406
2015-03-25,138.0
2015-03-26,138.3000030517578
2015-03-27,137.6300048828125
2015-03-30,141.91000366210938
2015-03-31,140.14999389648438
2015-04-01,140.6300048828125
2015-04-02,139.44000244140625
2015-04-06,141.3800048828125
2015-04-07,141.4199981689453
2015-04-08,140.82000732421875
2015-04-09,140.33999633789062
2015-04-10,142.0
